date,value
1998-01-31,-793
1998-02-28,-1613
1998-03-31,-1578
1998-04-30,-1114
1998-05-31,-1585
1998-06-30,-1227
1998-07-31,-1099
1998-08-31,-1114
1998-09-30,-1910
1998-10-31,-1326
1998-11-30,-1625
1998-12-31,-1512
1999-01-31,-1861
1999-02-28,-1774
1999-03-31,-1534
1999-04-30,-1563
1999-05-31,-1195
1999-06-30,-1851
1999-07-31,-2083
1999-08-31,-1536
1999-09-30,-1557
1999-10-31,-1863
1999-11-30,-2181
1999-12-31,-2252
2000-01-31,-2369
2000-02-29,-2078
2000-03-31,-1778
2000-04-30,-2228
2000-05-31,-2107
2000-06-30,-2225
2000-07-31,-2807
2000-08-31,-2398
2000-09-30,-2561
2000-10-31,-2422
2000-11-30,-2543
2000-12-31,-2516
2001-01-31,-2640
2001-02-28,-2166
2001-03-31,-2549
2001-04-30,-2574
2001-05-31,-2479
2001-06-30,-2889
2001-07-31,-2371
2001-08-31,-3223
2001-09-30,-1682
2001-10-31,-1653
2001-11-30,-2030
2001-12-31,-2474
2002-01-31,-1904
2002-02-28,-2220
2002-03-31,-2071
2002-04-30,-2418
2002-05-31,-1724
2002-06-30,-2248
2002-07-31,-2095
2002-08-31,-1981
2002-09-30,-1774
2002-10-31,-2429
2002-11-30,-2853
2002-12-31,-2073
2003-01-31,-1529
2003-02-28,-1545
2003-03-31,-2347
2003-04-30,-671
2003-05-31,-2211
2003-06-30,-2648
2003-07-31,-1557
2003-08-31,-1421
2003-09-30,-2653
2003-10-31,-2283
2003-11-30,-2061
2003-12-31,-1702
2004-01-31,-2938
2004-02-29,-1748
2004-03-31,-1896
2004-04-30,-2180
2004-05-31,-2009
2004-06-30,-2603
2004-07-31,-2559
2004-08-31,-2858
2004-09-30,-2451
2004-10-31,-2655
2004-11-30,-2444
2004-12-31,-2266
2005-01-31,-2899
2005-02-28,-2300
2005-03-31,-2632
2005-04-30,-2688
2005-05-31,-2297
2005-06-30,-1953
2005-07-31,-2481
2005-08-31,-3382
2005-09-30,-2461
2005-10-31,-2121
2005-11-30,-2907
2005-12-31,-3187
2006-01-31,-3941
2006-02-28,-3257
2006-03-31,-3523
2006-04-30,-3717
2006-05-31,-4010
2006-06-30,-3484
2006-07-31,-4142
2006-08-31,-4457
2006-09-30,-3556
2006-10-31,-3683
2006-11-30,-3977
2006-12-31,-3937
2007-01-31,-3630
2007-02-28,-3954
2007-03-31,-4313
2007-04-30,-2906
2007-05-31,-3464
2007-06-30,-3131
2007-07-31,-4288
2007-08-31,-4241
2007-09-30,-4561
2007-10-31,-4354
2007-11-30,-3878
2007-12-31,-3813
2008-01-31,-4311
2008-02-29,-4392
2008-03-31,-4091
2008-04-30,-4230
2008-05-31,-4205
2008-06-30,-4946
2008-07-31,-4644
2008-08-31,-4704
2008-09-30,-3819
2008-10-31,-4084
2008-11-30,-5558
2008-12-31,-4102
2009-01-31,-5737
2009-02-28,-3894
2009-03-31,-4453
2009-04-30,-4411
2009-05-31,-3233
2009-06-30,-3697
2009-07-31,-4002
2009-08-31,-3187
2009-09-30,-3696
2009-10-31,-3537
2009-11-30,-2855
2009-12-31,-3361
2010-01-31,-4569
2010-02-28,-3327
2010-03-31,-4729
2010-04-30,-4092
2010-05-31,-4260
2010-06-30,-3934
2010-07-31,-4372
2010-08-31,-4394
2010-09-30,-4394
2010-10-31,-4969
2010-11-30,-5132
2010-12-31,-5313
2011-01-31,-3832
2011-02-28,-2313
2011-03-31,-4635
2011-04-30,-4307
2011-05-31,-5188
2011-06-30,-5350
2011-07-31,-5395
2011-08-31,-5158
2011-09-30,-5884
2011-10-31,-4670
2011-11-30,-5023
2011-12-31,-3730
2012-01-31,-3557
2012-02-29,-4288
2012-03-31,-4183
2012-04-30,-5308
2012-05-31,-3958
2012-06-30,-5241
2012-07-31,-2904
2012-08-31,-4856
2012-09-30,-4277
2012-10-31,-4716
2012-11-30,-4754
2012-12-31,-4511
2013-01-31,-3961
2013-02-28,-5239
2013-03-31,-3443
2013-04-30,-3348
2013-05-31,-4889
2013-06-30,-4262
2013-07-31,-4624
2013-08-31,-3387
2013-09-30,-4214
2013-10-31,-5446
2013-11-30,-5383
2013-12-31,-3060
2014-01-31,-3765
2014-02-28,-2727
2014-03-31,-3764
2014-04-30,-3988
2014-05-31,-3349
2014-06-30,-3330
2014-07-31,-3986
2014-08-31,-3466
2014-09-30,-3397
2014-10-31,-2334
2014-11-30,-3317
2014-12-31,-5890
2015-01-31,-4499
2015-02-28,-4031
2015-03-31,-2831
2015-04-30,-2523
2015-05-31,-1706
2015-06-30,-1627
2015-07-31,-2969
2015-08-31,-2511
2015-09-30,-1919
2015-10-31,-3978
2015-11-30,-1537
2015-12-31,-634
2016-01-31,-1234
2016-02-29,-2907
2016-03-31,-4159
2016-04-30,-3683
2016-05-31,-1057
2016-06-30,-2972
2016-07-31,-4193
2016-08-31,-5656
2016-09-30,-5268
2016-10-31,-2116
2016-11-30,-3577
