date,value
1955-03-31,-75
1955-06-30,-69
1955-09-30,-76
1955-12-31,-53
1956-03-31,0
1956-06-30,35
1956-09-30,10
1956-12-31,31
1957-03-31,5
1957-06-30,14
1957-09-30,17
1957-12-31,56
1958-03-31,74
1958-06-30,27
1958-09-30,34
1958-12-31,18
1959-03-31,10
1959-06-30,8
1959-09-30,10
1959-12-31,-26
1960-03-31,-46
1960-06-30,-109
1960-09-30,-110
1960-12-31,-100
1961-03-31,-46
1961-06-30,-50
1961-09-30,7
1961-12-31,-4
1962-03-31,-17
1962-06-30,-3
1962-09-30,-25
1962-12-31,-9
1963-03-31,11
1963-06-30,-24
1963-09-30,-40
1963-12-31,-66
1964-03-31,-159
1964-06-30,-114
1964-09-30,-153
1964-12-31,-159
1965-03-31,-70
1965-06-30,-96
1965-09-30,-91
1965-12-31,-72
1966-03-31,-91
1966-06-30,-66
1966-09-30,-45
1966-12-31,135
1967-03-31,-4
1967-06-30,-64
1967-09-30,-61
1967-12-31,-315
1968-03-31,-138
1968-06-30,-136
1968-09-30,-58
1968-12-31,-35
1969-03-31,-68
1969-06-30,35
1969-09-30,141
1969-12-31,70
1970-03-31,220
1970-06-30,48
1970-09-30,23
1970-12-31,146
1971-03-31,104
1971-06-30,183
1971-09-30,304
1971-12-31,231
1972-03-31,78
1972-06-30,91
1972-09-30,-165
1972-12-31,-18
1973-03-31,-226
1973-06-30,-263
1973-09-30,-457
1973-12-31,-720
1974-03-31,-959
1974-06-30,-1101
1974-09-30,-938
1974-12-31,-951
1975-03-31,-482
1975-06-30,-252
1975-09-30,-624
1975-12-31,-179
1976-03-31,146
1976-06-30,-396
1976-09-30,-475
1976-12-31,-333
1977-03-31,-89
1977-06-30,39
1977-09-30,777
1977-12-31,706
1978-03-31,448
1978-06-30,809
1978-09-30,597
1978-12-31,827
1979-03-31,-406
1979-06-30,543
1979-09-30,631
1979-12-31,479
1980-03-31,654
1980-06-30,790
1980-09-30,1968
1980-12-31,2331
1981-03-31,2946
1981-06-30,2340
1981-09-30,1180
1981-12-31,1548
1982-03-31,1518
1982-06-30,1091
1982-09-30,1490
1982-12-31,2041
1983-03-31,1145
1983-06-30,649
1983-09-30,1193
1983-12-31,801
1984-03-31,1022
1984-06-30,-31
1984-09-30,9
1984-12-31,-308
1985-03-31,-138
1985-06-30,1968
1985-09-30,1724
1985-12-31,1529
1986-03-31,675
1986-06-30,-281
1986-09-30,-1016
1986-12-31,-813
1987-03-31,443
1987-06-30,-655
1987-09-30,-903
1987-12-31,-1979
1988-03-31,-2653
1988-06-30,-3222
1988-09-30,-4028
1988-12-31,-5262
1989-03-31,-5079
1989-06-30,-5103
1989-09-30,-5269
1989-12-31,-3407
1990-03-31,-4114
1990-06-30,-3792
1990-09-30,-2368
1990-12-31,-1790
1991-03-31,-1537
1991-06-30,-641
1991-09-30,-745
1991-12-31,-988
1992-01-31,-376
1992-02-29,-288
1992-03-31,-105
