date,value
1985-12-08,46
1985-12-15,46
1985-12-22,47
1985-12-29,46.7
1986-01-05,46
1986-01-12,46
1986-01-19,46
1986-01-26,47
1986-02-02,48
1986-02-09,49
1986-02-16,48
1986-02-23,47
1986-03-02,46
1986-03-09,46
1986-03-16,45
1986-03-23,45
1986-03-30,45
1986-04-06,48
1986-04-13,50
1986-04-20,50
1986-04-27,53
1986-05-04,53
1986-05-11,54
1986-05-18,53
1986-05-25,51
1986-06-01,52
1986-06-08,51
1986-06-15,53
1986-06-22,52
1986-06-29,51
1986-07-06,51
1986-07-13,50
1986-07-20,50
1986-07-27,50
1986-08-03,51
1986-08-10,49
1986-08-17,50
1986-08-24,49
1986-08-31,49
1986-09-07,49
1986-09-14,48
1986-09-21,46
1986-09-28,46
1986-10-05,45
1986-10-12,45
1986-10-19,46
1986-10-26,46
1986-11-02,47
1986-11-09,47
1986-11-16,47
1986-11-23,46
1986-11-30,45
1986-12-07,45
1986-12-14,47
1986-12-21,47
1986-12-28,47
1987-01-04,46
1987-01-11,45
1987-01-18,44
1987-01-25,43
1987-02-01,44
1987-02-08,44
1987-02-15,43
1987-02-22,44
1987-03-01,44
1987-03-08,44
1987-03-15,46
1987-03-22,46
1987-03-29,47
1987-04-05,47
1987-04-12,47
1987-04-19,46
1987-04-26,46
1987-05-03,45
1987-05-10,45
1987-05-17,44
1987-05-24,43
1987-05-31,44
1987-06-07,45
1987-06-14,45
1987-06-21,46
1987-06-28,45
1987-07-05,44
1987-07-12,45
1987-07-19,45
1987-07-26,45
1987-08-02,47
1987-08-09,47
1987-08-16,46
1987-08-23,48
1987-08-30,47
1987-09-06,47
1987-09-13,48
1987-09-20,47
1987-09-27,49
1987-10-04,48
1987-10-11,46
1987-10-18,46
1987-10-25,44
1987-11-01,43
1987-11-08,42
1987-11-15,42
1987-11-22,42
1987-11-29,43
1987-12-06,43
1987-12-13,43
1987-12-20,44
1987-12-27,44
1988-01-03,44
1988-01-10,42
1988-01-17,41
1988-01-24,40
1988-01-31,42
1988-02-07,41
1988-02-14,41
1988-02-21,42
1988-02-28,42
1988-03-06,44
1988-03-13,46
1988-03-20,45
1988-03-27,46
1988-04-03,46
1988-04-10,45
1988-04-17,45
1988-04-24,44
1988-05-01,43
1988-05-08,43
1988-05-15,43
1988-05-22,45
1988-05-29,46
1988-06-05,47
1988-06-12,48
1988-06-19,46
1988-06-26,44
1988-07-03,43
1988-07-10,43
1988-07-17,45
1988-07-24,48
1988-07-31,48
1988-08-07,48
1988-08-14,47
1988-08-21,48
1988-08-28,49
1988-09-04,50
1988-09-11,49
1988-09-18,48
1988-09-25,46
1988-10-02,45
1988-10-09,45
1988-10-16,44
1988-10-23,46
1988-10-30,46
1988-11-06,47
1988-11-13,47
1988-11-20,47
1988-11-27,47
1988-12-04,47
1988-12-11,45
1988-12-18,46
1988-12-25,45
1989-01-01,44
1989-01-08,46
1989-01-15,48
1989-01-22,49
1989-01-29,48
1989-02-05,48
1989-02-12,47
1989-02-19,47
1989-02-26,48
1989-03-05,47
1989-03-12,46
1989-03-19,44
1989-03-26,45
1989-04-02,43
1989-04-09,43
1989-04-16,43
1989-04-23,42
1989-04-30,42
1989-05-07,41
1989-05-14,40
1989-05-21,40
1989-05-28,41
1989-06-04,44
1989-06-11,45
1989-06-18,46
1989-06-25,45
1989-07-02,46
1989-07-09,45
1989-07-16,46
1989-07-23,46
1989-07-30,46
1989-08-06,46
1989-08-13,46
1989-08-20,44
1989-08-27,44
1989-09-03,44
1989-09-10,47
1989-09-17,46
1989-09-24,44
1989-10-01,45
1989-10-08,43
1989-10-15,43
1989-10-22,43
1989-10-29,44
1989-11-05,43
1989-11-12,43
1989-11-19,42
1989-11-26,41
1989-12-03,44
1989-12-10,45
1989-12-17,44
1989-12-24,46
1989-12-31,43
1990-01-07,44
1990-01-14,46
1990-01-21,46
1990-01-28,45
1990-02-04,42
1990-02-11,39
1990-02-18,40
1990-02-25,38
1990-03-04,40
1990-03-11,42
1990-03-18,41
1990-03-25,44
1990-04-01,44
1990-04-08,44
1990-04-15,43
1990-04-22,42
1990-04-29,41
1990-05-06,41
1990-05-13,42
1990-05-20,41
1990-05-27,41
1990-06-03,40
1990-06-10,41
1990-06-17,43
1990-06-24,43
1990-07-01,42
1990-07-08,40
1990-07-15,37
1990-07-22,36
1990-07-29,37
1990-08-05,37
1990-08-12,36
1990-08-19,37
1990-08-26,38
1990-09-02,38
1990-09-09,38
1990-09-16,38
1990-09-23,38
1990-09-30,36
1990-10-07,33
1990-10-14,31
1990-10-21,30
1990-10-28,28
1990-11-04,29
1990-11-11,29
1990-11-18,30
1990-11-25,31
1990-12-02,30
1990-12-09,30
1990-12-16,30
1990-12-23,30
1990-12-30,30
1991-01-06,30
1991-01-13,30
1991-01-20,31
1991-01-27,31
1991-02-03,32
1991-02-10,32
1991-02-17,32
1991-02-24,31
1991-03-03,31
1991-03-10,31
1991-03-17,33
1991-03-24,34
1991-03-31,34
1991-04-07,36
1991-04-14,34
1991-04-21,35
1991-04-28,35
1991-05-05,33
1991-05-12,33
1991-05-19,33
1991-05-26,32
1991-06-02,32
1991-06-09,31
1991-06-16,32
1991-06-23,31
1991-06-30,31
1991-07-07,33
1991-07-14,32
1991-07-21,32
1991-07-28,32
1991-08-04,31
1991-08-11,31
1991-08-18,31
1991-08-25,31
1991-09-01,31
1991-09-08,30
1991-09-15,31
1991-09-22,30
1991-09-29,30
1991-10-06,29
1991-10-13,27
1991-10-20,28
1991-10-27,28
1991-11-03,27
1991-11-10,28
1991-11-17,26
1991-11-24,26
1991-12-01,27
1991-12-08,26
1991-12-15,27
1991-12-22,26
1991-12-29,27
1992-01-05,28
1992-01-12,27
1992-01-19,27
1992-01-26,26
1992-02-02,25
1992-02-09,25
1992-02-16,25
1992-02-23,26
1992-03-01,26
1992-03-08,25
1992-03-15,26
1992-03-22,26
1992-03-29,27
1992-04-05,27
1992-04-12,27
1992-04-19,28
1992-04-26,29
1992-05-03,29
1992-05-10,29
1992-05-17,28
1992-05-24,27
1992-05-31,29
1992-06-07,30
1992-06-14,30
1992-06-21,31
1992-06-28,30
1992-07-05,28
1992-07-12,27
1992-07-19,27
1992-07-26,27
1992-08-02,27
1992-08-09,28
1992-08-16,29
1992-08-23,28
1992-08-30,27
1992-09-06,28
1992-09-13,28
1992-09-20,29
1992-09-27,30
1992-10-04,28
1992-10-11,27
1992-10-18,26
1992-10-25,26
1992-11-01,26
1992-11-08,26
1992-11-15,27
1992-11-22,27
1992-11-29,29
1992-12-06,31
1992-12-13,32
1992-12-20,33
1992-12-27,33
1993-01-03,34
1993-01-10,33
1993-01-17,31
1993-01-24,32
1993-01-31,30
1993-02-07,29
1993-02-14,30
1993-02-21,29
1993-02-28,29
1993-03-07,28
1993-03-14,27
1993-03-21,28
1993-03-28,30
1993-04-04,32
1993-04-11,33
1993-04-18,32
1993-04-25,31
1993-05-02,31
1993-05-09,30
1993-05-16,32
1993-05-23,31
1993-05-30,30
1993-06-06,32
1993-06-13,30
1993-06-20,31
1993-06-27,31
1993-07-04,29
1993-07-11,29
1993-07-18,31
1993-07-25,31
1993-08-01,32
1993-08-08,31
1993-08-15,30
1993-08-22,31
1993-08-29,31
1993-09-05,32
1993-09-12,32
1993-09-19,32
1993-09-26,32
1993-10-03,30
1993-10-10,31
1993-10-17,32
1993-10-24,32
1993-10-31,33
1993-11-07,32
1993-11-14,31
1993-11-21,34
1993-11-28,34
1993-12-05,35
1993-12-12,35
1993-12-19,36
1993-12-26,37
1994-01-02,37
1994-01-09,38
1994-01-16,38
1994-01-23,37
1994-01-30,39
1994-02-06,40
1994-02-13,39
1994-02-20,40
1994-02-27,40
1994-03-06,40
1994-03-13,41
1994-03-20,41
1994-03-27,40
1994-04-03,40
1994-04-10,40
1994-04-17,39
1994-04-24,39
1994-05-01,40
1994-05-08,39
1994-05-15,40
1994-05-22,40
1994-05-29,41
