date,value
1960-01-31,2.025166
1960-02-29,2.142594
1960-03-31,2.048734
1960-04-30,1.98999
1960-05-31,2.035991
1960-06-30,1.815946
1960-07-31,1.763668
1960-08-31,1.750179
1960-09-30,1.564655
1960-10-31,1.455744
1960-11-30,1.537885
1960-12-31,1.355504
1961-01-31,1.339193
1961-02-28,1.262815
1961-03-31,1.283813
1961-04-30,1.233988
1961-05-31,1.205644
1961-06-30,1.289003
1961-07-31,1.265686
1961-08-31,1.221877
1961-09-30,1.346678
1961-10-31,1.319642
1961-11-30,1.070663
1961-12-31,1.191101
1962-01-31,1.300594
1962-02-28,1.361856
1962-03-31,1.56487
1962-04-30,1.442936
1962-05-31,1.446184
1962-06-30,1.480365
1962-07-31,1.405455
1962-08-31,1.305568
1962-09-30,1.292591
1962-10-31,1.245613
1962-11-30,1.297031
1962-12-31,1.233858
1963-01-31,1.309692
1963-02-28,1.245746
1963-03-31,1.063113
1963-04-30,1.165653
1963-05-31,1.199944
1963-06-30,1.182367
1963-07-31,1.191632
1963-08-31,1.27339
1963-09-30,1.265893
1963-10-31,1.500836
1963-11-30,1.525276
1963-12-31,1.642106
1964-01-31,1.582853
1964-02-29,1.677852
1964-03-31,1.727819
1964-04-30,1.705499
1964-05-31,1.621483
1964-06-30,1.527722
1964-07-31,1.541496
1964-08-31,1.590671
1964-09-30,1.456724
1964-10-31,1.272445
1964-11-30,1.326499
1964-12-31,1.319555
1965-01-31,1.312696
1965-02-28,1.235132
1965-03-31,1.188934
1965-04-30,1.212757
1965-05-31,1.306403
1965-06-30,1.200803
1965-07-31,1.199548
1965-08-31,1.252614
1965-09-30,1.321536
1965-10-31,1.246521
1965-11-30,1.284334
1965-12-31,1.450922
1966-01-31,1.350076
1966-02-28,1.481844
1966-03-31,1.560031
1966-04-30,1.799802
1966-05-31,1.890047
1966-06-30,2.250006
1966-07-31,2.449337
1966-08-31,2.449674
1966-09-30,2.642941
1966-10-31,3.021539
1966-11-30,3.089354
1966-12-31,3.089771
1967-01-31,3.152142
1967-02-28,3.081039
1967-03-31,3.101296
1967-04-30,3.017676
1967-05-31,2.966042
1967-06-30,2.893874
1967-07-31,2.93327
1967-08-31,3.057169
1967-09-30,3.100368
1967-10-31,3.137649
1967-11-30,3.205743
1967-12-31,3.139205
1968-01-31,3.495744
1968-02-29,3.749177
1968-03-31,4.002833
1968-04-30,4.100055
1968-05-31,4.264604
1968-06-30,4.403575
1968-07-31,4.402781
1968-08-31,4.486912
1968-09-30,4.54545
1968-10-31,4.584064
1968-11-30,4.64773
1968-12-31,4.719275
1969-01-31,4.66525
1969-02-28,4.57832
1969-03-31,4.6606
1969-04-30,4.68155
1969-05-31,4.7017
1969-06-30,4.65994
1969-07-31,4.7948
1969-08-31,4.69211
1969-09-30,4.68707
1969-10-31,4.70971
1969-11-30,4.71519
1969-12-31,4.78365
1970-01-31,4.72384
1970-02-28,4.76256
1970-03-31,4.65816
1970-04-30,4.66742
1970-05-31,4.61719
1970-06-30,4.63272
1970-07-31,4.54403
1970-08-31,4.60705
1970-09-30,4.62423
1970-10-31,4.68861
1970-11-30,4.82546
1970-12-31,4.95707
1971-01-31,5.02413
1971-02-28,5.02688
1971-03-31,4.97344
1971-04-30,4.94947
1971-05-31,5.03587
1971-06-30,5.06934
1971-07-31,5.07595
1971-08-31,4.86168
1971-09-30,4.59442
1971-10-31,4.24559
1971-11-30,3.94992
1971-12-31,3.75404
1972-01-31,3.78943
1972-02-29,3.67503
1972-03-31,3.54713
1972-04-30,3.40167
1972-05-31,3.19355
1972-06-30,2.99651
1972-07-31,2.89518
1972-08-31,2.96444
1972-09-30,3.14282
1972-10-31,3.04028
1972-11-30,3.07798
1972-12-31,3.06841
1973-01-31,2.69302
1973-02-28,2.73384
1973-03-31,2.94884
1973-04-30,3.30975
1973-05-31,3.46959
1973-06-30,3.70532
1973-07-31,3.85348
1973-08-31,4.11865
1973-09-30,4.29428
1973-10-31,4.63492
1973-11-30,4.8627
1973-12-31,5.12649
1974-01-31,5.57799
1974-02-28,5.92005
1974-03-31,6.30862
1974-04-30,6.48482
1974-05-31,7.09193
1974-06-30,7.72921
1974-07-31,8.21965
1974-08-31,8.75585
1974-09-30,9.18105
1974-10-31,9.61321
1974-11-30,9.88595
1974-12-31,10.05522
1975-01-31,10.15816
1975-02-28,10.23389
1975-03-31,9.9612
1975-04-30,9.67262
1975-05-31,9.09484
1975-06-30,8.51413
1975-07-31,8.22387
1975-08-31,7.56129
1975-09-30,7.17851
1975-10-31,6.87509
1975-11-30,6.80119
1975-12-31,6.69221
1976-01-31,6.61611
1976-02-29,6.28849
1976-03-31,6.0825
1976-04-30,5.98019
1976-05-31,6.02731
1976-06-30,5.93218
1976-07-31,5.86316
1976-08-31,6.10308
1976-09-30,6.15117
1976-10-31,6.1432
