date,value,_value
2000-03-31,12.3591,12359.1
2000-06-30,12.5925,12592.5
2000-09-30,12.607700000000001,12607.7
2000-12-31,12.6793,12679.3
2001-03-31,12.6433,12643.3
2001-06-30,12.7103,12710.3
2001-09-30,12.6701,12670.1
2001-12-31,12.7053,12705.3
2002-03-31,12.822299999999998,12822.3
2002-06-30,12.893,12893
2002-09-30,12.9558,12955.8
2002-12-31,12.964,12964
2003-03-31,13.0312,13031.2
2003-06-30,13.1521,13152.1
2003-09-30,13.372399999999999,13372.4
2003-12-31,13.5287,13528.7
2004-03-31,13.6065,13606.5
2004-06-30,13.7062,13706.2
2004-09-30,13.8308,13830.8
2004-12-31,13.9504,13950.4
2005-03-31,14.0991,14099.1
2005-06-30,14.1727,14172.7
2005-09-30,14.291799999999999,14291.8
2005-12-31,14.3734,14373.4
2006-03-31,14.546100000000001,14546.1
2006-06-30,14.5896,14589.6
2006-09-30,14.6026,14602.6
2006-12-31,14.716899999999999,14716.9
2007-03-31,14.726,14726
2007-06-30,14.838700000000001,14838.7
2007-09-30,14.9385,14938.5
2007-12-31,14.9918,14991.8
2008-03-31,14.8895,14889.5
2008-06-30,14.9634,14963.4
2008-09-30,14.8916,14891.6
2008-12-31,14.577,14577
2009-03-31,14.375,14375
2009-06-30,14.3556,14355.6
2009-09-30,14.4025,14402.5
2009-12-31,14.5419,14541.9
2010-03-31,14.6048,14604.8
2010-06-30,14.745899999999999,14745.9
2010-09-30,14.8455,14845.5
2010-12-31,14.939,14939
2011-03-31,14.8813,14881.3
2011-06-30,14.989600000000001,14989.6
2011-09-30,15.0211,15021.1
2011-12-31,15.190299999999999,15190.3
2012-03-31,15.291,15291
2012-06-30,15.3624,15362.4
2012-09-30,15.380799999999999,15380.8
2012-12-31,15.3843,15384.3
2013-03-31,15.4919,15491.9
2013-06-30,15.521600000000001,15521.6
2013-09-30,15.6413,15641.3
2013-12-31,15.793899999999999,15793.9
2014-03-31,15.747,15747
2014-06-30,15.900799999999998,15900.8
2014-09-30,16.0945,16094.5
2014-12-31,16.186700000000002,16186.7
2015-03-31,16.269,16269
2015-06-30,16.374200000000002,16374.2
2015-09-30,16.454900000000002,16454.9
2015-12-31,16.4907,16490.7
2016-03-31,16.525,16525
2016-06-30,16.583099999999998,16583.1
2016-09-30,16.727,16727
