date,value
1963-01-31,591
1963-02-28,464
1963-03-31,461
1963-04-30,605
1963-05-31,586
1963-06-30,526
1963-07-31,665
1963-08-31,570
1963-09-30,590
1963-10-31,567
1963-11-30,579
1963-12-31,514
1964-01-31,549
1964-02-29,609
1964-03-31,562
1964-04-30,559
1964-05-31,523
1964-06-30,580
1964-07-31,575
1964-08-31,582
1964-09-30,590
1964-10-31,583
1964-11-30,548
1964-12-31,540
1965-01-31,533
1965-02-28,559
1965-03-31,556
1965-04-30,555
1965-05-31,544
1965-06-30,614
1965-07-31,554
1965-08-31,615
1965-09-30,587
1965-10-31,555
1965-11-30,616
1965-12-31,609
1966-01-31,599
1966-02-28,541
1966-03-31,557
1966-04-30,545
1966-05-31,499
1966-06-30,434
1966-07-31,435
1966-08-31,377
1966-09-30,358
1966-10-31,387
1966-11-30,382
1966-12-31,369
1967-01-31,416
1967-02-28,408
1967-03-31,439
1967-04-30,479
1967-05-31,503
1967-06-30,499
1967-07-31,515
1967-08-31,504
1967-09-30,531
1967-10-31,566
1967-11-30,500
1967-12-31,502
1968-01-31,494
1968-02-29,543
1968-03-31,490
1968-04-30,501
1968-05-31,441
1968-06-30,441
1968-07-31,493
1968-08-31,507
1968-09-30,501
1968-10-31,502
1968-11-30,469
1968-12-31,511
1969-01-31,480
1969-02-28,524
1969-03-31,474
1969-04-30,450
1969-05-31,447
1969-06-30,461
1969-07-31,436
1969-08-31,422
1969-09-30,396
1969-10-31,401
1969-11-30,441
1969-12-31,452
1970-01-31,461
1970-02-28,373
1970-03-31,389
1970-04-30,445
1970-05-31,466
1970-06-30,485
1970-07-31,481
1970-08-31,515
1970-09-30,564
1970-10-31,545
1970-11-30,570
1970-12-31,582
1971-01-31,618
1971-02-28,618
1971-03-31,681
1971-04-30,662
1971-05-31,618
1971-06-30,646
1971-07-31,706
1971-08-31,659
1971-09-30,625
1971-10-31,647
1971-11-30,710
1971-12-31,689
1972-01-31,698
1972-02-29,711
1972-03-31,640
1972-04-30,684
1972-05-31,677
1972-06-30,687
1972-07-31,681
1972-08-31,773
1972-09-30,767
1972-10-31,843
1972-11-30,735
1972-12-31,772
1973-01-31,781
1973-02-28,737
1973-03-31,725
1973-04-30,661
1973-05-31,660
1973-06-30,650
1973-07-31,601
1973-08-31,566
1973-09-30,561
1973-10-31,565
1973-11-30,547
1973-12-31,519
1974-01-31,523
1974-02-28,539
1974-03-31,572
1974-04-30,544
1974-05-31,590
1974-06-30,534
1974-07-31,534
1974-08-31,492
1974-09-30,511
1974-10-31,448
1974-11-30,450
1974-12-31,417
1975-01-31,416
1975-02-28,422
1975-03-31,477
1975-04-30,543
1975-05-31,579
1975-06-30,557
1975-07-31,569
1975-08-31,566
1975-09-30,556
1975-10-31,609
1975-11-30,680
1975-12-31,669
1976-01-31,603
1976-02-29,644
1976-03-31,591
1976-04-30,611
1976-05-31,570
1976-06-30,591
1976-07-31,664
1976-08-31,648
1976-09-30,696
1976-10-31,708
1976-11-30,735
1976-12-31,767
1977-01-31,825
1977-02-28,839
1977-03-31,872
1977-04-30,799
1977-05-31,807
1977-06-30,805
1977-07-31,755
1977-08-31,808
1977-09-30,842
1977-10-31,819
1977-11-30,829
1977-12-31,835
1978-01-31,795
1978-02-28,791
1978-03-31,814
1978-04-30,864
1978-05-31,857
1978-06-30,834
1978-07-31,789
1978-08-31,756
1978-09-30,812
1978-10-31,872
1978-11-30,798
1978-12-31,805
1979-01-31,754
1979-02-28,723
1979-03-31,793
1979-04-30,748
1979-05-31,727
1979-06-30,700
1979-07-31,715
1979-08-31,729
1979-09-30,727
1979-10-31,670
1979-11-30,597
1979-12-31,559
1980-01-31,592
1980-02-29,541
1980-03-31,474
1980-04-30,370
1980-05-31,469
1980-06-30,552
1980-07-31,636
1980-08-31,659
1980-09-30,596
1980-10-31,561
1980-11-30,562
1980-12-31,532
1981-01-31,511
1981-02-28,510
1981-03-31,514
1981-04-30,470
1981-05-31,467
1981-06-30,415
1981-07-31,431
1981-08-31,378
1981-09-30,338
1981-10-31,356
1981-11-30,382
1981-12-31,457
1982-01-31,368
1982-02-28,365
1982-03-31,374
1982-04-30,339
1982-05-31,384
1982-06-30,370
1982-07-31,375
1982-08-31,407
1982-09-30,481
1982-10-31,480
1982-11-30,554
1982-12-31,521
1983-01-31,582
1983-02-28,562
1983-03-31,596
1983-04-30,638
1983-05-31,664
1983-06-30,651
1983-07-31,606
1983-08-31,572
1983-09-30,608
1983-10-31,632
1983-11-30,644
1983-12-31,773
1984-01-31,691
1984-02-29,696
1984-03-31,641
1984-04-30,639
1984-05-31,615
1984-06-30,630
1984-07-31,619
1984-08-31,567
1984-09-30,662
1984-10-31,687
1984-11-30,597
1984-12-31,597
1985-01-31,645
1985-02-28,682
1985-03-31,671
1985-04-30,620
1985-05-31,678
1985-06-30,722
1985-07-31,766
1985-08-31,726
1985-09-30,678
1985-10-31,655
1985-11-30,733
1985-12-31,721
1986-01-31,733
1986-02-28,728
1986-03-31,880
1986-04-30,857
1986-05-31,789
1986-06-30,728
1986-07-31,698
1986-08-31,621
1986-09-30,763
1986-10-31,669
1986-11-30,707
1986-12-31,784
1987-01-31,709
1987-02-28,732
1987-03-31,713
1987-04-30,735
1987-05-31,651
1987-06-30,637
1987-07-31,658
1987-08-31,657
1987-09-30,666
1987-10-31,650
1987-11-30,625
1987-12-31,595
1988-01-31,585
1988-02-29,663
1988-03-31,669
1988-04-30,699
1988-05-31,684
1988-06-30,717
1988-07-31,679
1988-08-31,688
1988-09-30,703
1988-10-31,718
1988-11-30,628
1988-12-31,658
1989-01-31,719
1989-02-28,622
1989-03-31,567
1989-04-30,608
1989-05-31,656
1989-06-30,642
1989-07-31,731
1989-08-31,697
1989-09-30,639
1989-10-31,645
1989-11-30,684
1989-12-31,630
1990-01-31,620
1990-02-28,591
1990-03-31,574
