date,value
2000-01-31,230
2000-02-29,130
2000-03-31,468
2000-04-30,287
2000-05-31,227
2000-06-30,-47
2000-07-31,176
2000-08-31,-10
2000-09-30,136
2000-10-31,-14
2000-11-30,226
2000-12-31,142
2001-01-31,-26
2001-02-28,72
2001-03-31,-25
2001-04-30,-281
2001-05-31,-38
2001-06-30,-131
2001-07-31,-112
2001-08-31,-157
2001-09-30,-240
2001-10-31,-325
2001-11-30,-293
2001-12-31,-170
2002-01-31,-138
2002-02-28,-134
2002-03-31,-20
2002-04-30,-79
2002-05-31,-7
2002-06-30,57
2002-07-31,-85
2002-08-31,-14
2002-09-30,-59
2002-10-31,126
2002-11-30,10
2002-12-31,-157
2003-01-31,92
2003-02-28,-150
2003-03-31,-209
2003-04-30,-44
2003-05-31,-8
2003-06-30,9
2003-07-31,24
2003-08-31,-42
2003-09-30,104
2003-10-31,198
2003-11-30,17
2003-12-31,122
2004-01-31,162
2004-02-29,46
2004-03-31,332
2004-04-30,249
2004-05-31,308
2004-06-30,76
2004-07-31,44
2004-08-31,121
2004-09-30,164
2004-10-31,346
2004-11-30,64
2004-12-31,130
2005-01-31,134
2005-02-28,239
2005-03-31,136
2005-04-30,365
2005-05-31,174
2005-06-30,247
2005-07-31,376
2005-08-31,194
2005-09-30,68
2005-10-31,85
2005-11-30,337
2005-12-31,159
2006-01-31,278
2006-02-28,316
2006-03-31,281
2006-04-30,183
2006-05-31,23
2006-06-30,82
2006-07-31,207
2006-08-31,181
2006-09-30,158
2006-10-31,4
2006-11-30,208
2006-12-31,171
2007-01-31,240
2007-02-28,90
2007-03-31,189
2007-04-30,79
2007-05-31,143
2007-06-30,78
2007-07-31,-33
2007-08-31,-24
2007-09-30,88
2007-10-31,85
2007-11-30,115
2007-12-31,97
2008-01-31,19
2008-02-29,-86
2008-03-31,-78
2008-04-30,-210
2008-05-31,-185
2008-06-30,-165
2008-07-31,-209
2008-08-31,-266
2008-09-30,-452
2008-10-31,-473
2008-11-30,-769
2008-12-31,-695
2009-01-31,-791
2009-02-28,-703
2009-03-31,-823
2009-04-30,-686
2009-05-31,-351
2009-06-30,-470
2009-07-31,-329
2009-08-31,-212
2009-09-30,-219
2009-10-31,-200
2009-11-30,-7
2009-12-31,-279
2010-01-31,28
2010-02-28,-69
2010-03-31,163
2010-04-30,243
2010-05-31,522
2010-06-30,-133
2010-07-31,-70
2010-08-31,-34
2010-09-30,-52
2010-10-31,257
2010-11-30,123
2010-12-31,88
2011-01-31,42
2011-02-28,188
2011-03-31,225
2011-04-30,346
2011-05-31,73
2011-06-30,235
2011-07-31,70
2011-08-31,107
2011-09-30,246
2011-10-31,202
2011-11-30,146
2011-12-31,207
2012-01-31,338
2012-02-29,257
2012-03-31,239
2012-04-30,75
2012-05-31,115
2012-06-30,87
2012-07-31,143
2012-08-31,190
2012-09-30,181
2012-10-31,132
2012-11-30,149
2012-12-31,243
2013-01-31,190
2013-02-28,311
2013-03-31,135
2013-04-30,192
2013-05-31,218
2013-06-30,146
2013-07-31,140
2013-08-31,269
2013-09-30,185
2013-10-31,189
2013-11-30,291
2013-12-31,45
2014-01-31,187
2014-02-28,168
2014-03-31,272
2014-04-30,310
2014-05-31,213
2014-06-30,306
2014-07-31,232
2014-08-31,218
2014-09-30,286
2014-10-31,200
2014-11-30,331
2014-12-31,292
2015-01-31,221
2015-02-28,265
2015-03-31,84
2015-04-30,251
2015-05-31,273
2015-06-30,228
2015-07-31,277
2015-08-31,150
2015-09-30,149
2015-10-31,295
2015-11-30,280
2015-12-31,271
2016-01-31,168
2016-02-29,233
2016-03-31,186
2016-04-30,144
2016-05-31,24
2016-06-30,271
2016-07-31,252
2016-08-31,176
2016-09-30,208
2016-10-31,135
2016-11-30,204
2016-12-31,156
