date,value,_value
2000-01-31,131.01,131010
2000-02-29,131.14,131140
2000-03-31,131.608,131608
2000-04-30,131.895,131895
2000-05-31,132.122,132122
2000-06-30,132.075,132075
2000-07-31,132.251,132251
2000-08-31,132.241,132241
2000-09-30,132.377,132377
2000-10-31,132.363,132363
2000-11-30,132.589,132589
2000-12-31,132.731,132731
2001-01-31,132.705,132705
2001-02-28,132.777,132777
2001-03-31,132.752,132752
2001-04-30,132.471,132471
2001-05-31,132.433,132433
2001-06-30,132.302,132302
2001-07-31,132.19,132190
2001-08-31,132.033,132033
2001-09-30,131.793,131793
2001-10-31,131.468,131468
2001-11-30,131.175,131175
2001-12-31,131.005,131005
2002-01-31,130.867,130867
2002-02-28,130.733,130733
2002-03-31,130.713,130713
2002-04-30,130.634,130634
2002-05-31,130.627,130627
2002-06-30,130.684,130684
2002-07-31,130.599,130599
2002-08-31,130.585,130585
2002-09-30,130.526,130526
2002-10-31,130.652,130652
2002-11-30,130.662,130662
2002-12-31,130.505,130505
2003-01-31,130.597,130597
2003-02-28,130.447,130447
2003-03-31,130.238,130238
2003-04-30,130.194,130194
2003-05-31,130.186,130186
2003-06-30,130.195,130195
2003-07-31,130.219,130219
2003-08-31,130.177,130177
2003-09-30,130.281,130281
2003-10-31,130.479,130479
2003-11-30,130.496,130496
2003-12-31,130.618,130618
2004-01-31,130.78,130780
2004-02-29,130.826,130826
2004-03-31,131.158,131158
2004-04-30,131.407,131407
2004-05-31,131.715,131715
2004-06-30,131.791,131791
2004-07-31,131.835,131835
2004-08-31,131.956,131956
2004-09-30,132.12,132120
2004-10-31,132.466,132466
2004-11-30,132.53,132530
2004-12-31,132.66,132660
2005-01-31,132.794,132794
2005-02-28,133.033,133033
2005-03-31,133.169,133169
2005-04-30,133.534,133534
2005-05-31,133.708,133708
2005-06-30,133.955,133955
2005-07-31,134.331,134331
2005-08-31,134.525,134525
2005-09-30,134.593,134593
2005-10-31,134.678,134678
2005-11-30,135.015,135015
2005-12-31,135.174,135174
2006-01-31,135.452,135452
2006-02-28,135.768,135768
2006-03-31,136.049,136049
2006-04-30,136.232,136232
2006-05-31,136.255,136255
2006-06-30,136.337,136337
2006-07-31,136.544,136544
2006-08-31,136.725,136725
2006-09-30,136.883,136883
2006-10-31,136.887,136887
2006-11-30,137.095,137095
2006-12-31,137.266,137266
2007-01-31,137.506,137506
2007-02-28,137.596,137596
2007-03-31,137.785,137785
2007-04-30,137.864,137864
2007-05-31,138.007,138007
2007-06-30,138.085,138085
2007-07-31,138.052,138052
2007-08-31,138.028,138028
2007-09-30,138.116,138116
2007-10-31,138.201,138201
2007-11-30,138.316,138316
2007-12-31,138.413,138413
2008-01-31,138.432,138432
2008-02-29,138.346,138346
2008-03-31,138.268,138268
2008-04-30,138.058,138058
2008-05-31,137.873,137873
2008-06-30,137.708,137708
2008-07-31,137.499,137499
2008-08-31,137.233,137233
2008-09-30,136.781,136781
2008-10-31,136.308,136308
2008-11-30,135.539,135539
2008-12-31,134.844,134844
2009-01-31,134.053,134053
2009-02-28,133.35,133350
