date,value
1947-03-31,24.627
1947-06-30,25.197
1947-09-30,24.456
1947-12-31,25.48
1948-03-31,25.579
1948-06-30,25.516
1948-09-30,25.55
1948-12-31,25.652
1949-03-31,25.902
1949-06-30,26.174
1949-09-30,26.804
1949-12-31,26.661
1950-03-31,27.584
1950-06-30,27.894
1950-09-30,28.498
1950-12-31,28.541
1951-03-31,28.6
1951-06-30,28.5
1951-09-30,29.153
1951-12-31,29.222
1952-03-31,29.347
1952-06-30,29.324
1952-09-30,29.21
1952-12-31,29.79
1953-03-31,30.026
1953-06-30,30.121
1953-09-30,30.269
1953-12-31,30.155
1954-03-31,30.208
1954-06-30,30.423
1954-09-30,30.976
1954-12-31,31.339
1955-03-31,31.937
1955-06-30,32.03
1955-09-30,32.161
1955-12-31,32.062
1956-03-31,31.667
1956-06-30,31.81
1956-09-30,31.813
1956-12-31,32.15
1957-03-31,32.517
1957-06-30,32.396
1957-09-30,32.859
1957-12-31,32.964
1958-03-31,32.507
1958-06-30,33.148
1958-09-30,33.767
1958-12-31,34.338
1959-03-31,34.362
1959-06-30,34.769
1959-09-30,34.699
1959-12-31,34.64
1960-03-31,35.443
1960-06-30,34.964
1960-09-30,35.065
1960-12-31,34.637
1961-03-31,35.081
1961-06-30,36.084
1961-09-30,36.581
1961-12-31,36.924
1962-03-31,37.538
1962-06-30,37.475
1962-09-30,37.964
1962-12-31,38.286
1963-03-31,38.413
1963-06-30,38.802
1963-09-30,39.628
1963-12-31,39.627
1964-03-31,39.982
1964-06-30,40.254
1964-09-30,40.557
1964-12-31,40.194
1965-03-31,40.791
1965-06-30,41.034
1965-09-30,41.77
1965-12-31,42.53
1966-03-31,43.124
1966-06-30,42.863
1966-09-30,42.928
1966-12-31,43.221
1967-03-31,43.586
1967-06-30,43.765
1967-09-30,43.944
1967-12-31,44.101
1968-03-31,45.085
1968-06-30,45.517
1968-09-30,45.502
1968-12-31,45.423
1969-03-31,45.772
1969-06-30,45.404
1969-09-30,45.431
1969-12-31,45.241
1970-03-31,45.36
1970-06-30,46.051
1970-09-30,46.759
1970-12-31,46.358
1971-03-31,47.705
1971-06-30,47.866
1971-09-30,48.292
1971-12-31,47.909
1972-03-31,48.583
1972-06-30,49.574
1972-09-30,49.843
1972-12-31,50.254
1973-03-31,51.378
1973-06-30,51.425
1973-09-30,50.927
1973-12-31,50.598
1974-03-31,50.495
1974-06-30,50.361
1974-09-30,49.827
1974-12-31,50.269
1975-03-31,50.667
1975-06-30,51.513
1975-09-30,52.097
1975-12-31,52.146
1976-03-31,52.915
1976-06-30,53.423
1976-09-30,53.52
1976-12-31,53.693
1977-03-31,54.018
1977-06-30,54.25
1977-09-30,54.79
1977-12-31,54.086
1978-03-31,54.121
1978-06-30,55.183
1978-09-30,55.185
1978-12-31,55.532
1979-03-31,55.037
1979-06-30,54.885
1979-09-30,54.826
1979-12-31,54.778
1980-03-31,55.038
1980-06-30,54.441
1980-09-30,54.624
1980-12-31,55.234
1981-03-31,56.167
1981-06-30,55.465
1981-09-30,55.934
1981-12-31,55.271
1982-03-31,54.874
1982-06-30,54.988
1982-09-30,55.093
1982-12-31,55.594
1983-03-31,56.335
1983-06-30,57.632
1983-09-30,58.046
1983-12-31,58.328
1984-03-31,58.423
1984-06-30,58.785
1984-09-30,59.036
1984-12-31,59.073
1985-03-31,59.171
1985-06-30,59.371
