date,value
2000-03-31,1.2
2000-06-30,7.8
2000-09-30,0.5
2000-12-31,2.3
2001-03-31,-1.1
2001-06-30,2.1
2001-09-30,-1.3
2001-12-31,1.1
2002-03-31,3.7
2002-06-30,2.2
2002-09-30,2
2002-12-31,0.3
2003-03-31,2.1
2003-06-30,3.8
2003-09-30,6.9
2003-12-31,4.8
2004-03-31,2.3
2004-06-30,3
2004-09-30,3.7
2004-12-31,3.5
2005-03-31,4.3
2005-06-30,2.1
2005-09-30,3.4
2005-12-31,2.3
2006-03-31,4.9
2006-06-30,1.2
2006-09-30,0.4
2006-12-31,3.2
2007-03-31,0.2
2007-06-30,3.1
2007-09-30,2.7
2007-12-31,1.4
2008-03-31,-2.7
2008-06-30,2
2008-09-30,-1.9
2008-12-31,-8.2
2009-03-31,-5.4
2009-06-30,-0.5
2009-09-30,1.3
2009-12-31,3.9
2010-03-31,1.7
2010-06-30,3.9
2010-09-30,2.7
2010-12-31,2.5
2011-03-31,-1.5
2011-06-30,2.9
2011-09-30,0.8
2011-12-31,4.6
2012-03-31,2.7
2012-06-30,1.9
2012-09-30,0.5
2012-12-31,0.1
2013-03-31,2.8
2013-06-30,0.8
2013-09-30,3.1
2013-12-31,4
2014-03-31,-1.2
2014-06-30,4
2014-09-30,5
2014-12-31,2.3
2015-03-31,2
2015-06-30,2.6
2015-09-30,2
2015-12-31,0.9
2016-03-31,0.8
2016-06-30,1.4
2016-09-30,3.5
