date,value
1947-06-30,-0.1
1947-09-30,26.6
1947-12-31,-6.8
1948-03-31,8.2
1948-06-30,6.7
1948-09-30,7.8
1948-12-31,2.3
1949-03-31,-1.4
1949-06-30,-3.2
1949-09-30,-8.3
1949-12-31,0.8
1950-03-31,-3.3
1950-06-30,4.2
1950-09-30,-0.8
1950-12-31,9.6
1951-03-31,9.1
1951-06-30,10.7
1951-09-30,-4.5
1951-12-31,6.9
1952-03-31,2.5
1952-06-30,3.4
1952-09-30,6.6
1952-12-31,2
1953-03-31,1.5
1953-06-30,3.5
1953-09-30,2.3
1953-12-31,5.6
1954-03-31,2.8
1954-06-30,-2.4
1954-09-30,-4
1954-12-31,-0.8
1955-03-31,-4.7
1955-06-30,2.1
1955-09-30,5.6
1955-12-31,4.9
1956-03-31,11.9
1956-06-30,6
1956-09-30,6.2
1956-12-31,2.5
1957-03-31,1.2
1957-06-30,5.7
1957-09-30,-0.4
1957-12-31,4.2
1958-03-31,5.9
1958-06-30,-4.3
1958-09-30,1.8
1958-12-31,-5
1959-03-31,3.7
1959-06-30,-1.4
1959-09-30,3.2
1959-12-31,4.7
1960-03-31,-0.7
1960-06-30,8.3
1960-09-30,1.3
1960-12-31,6.9
1961-03-31,-1.6
1961-06-30,-5.6
1961-09-30,-2.5
1961-12-31,-0.8
1962-03-31,-0.3
1962-06-30,3.4
1962-09-30,-2.4
1962-12-31,0.3
1963-03-31,2.7
1963-06-30,-2
1963-09-30,-4.3
1963-12-31,4.7
1964-03-31,-3.8
1964-06-30,1.7
1964-09-30,2.2
1964-12-31,6.8
1965-03-31,-4.2
1965-06-30,0.3
1965-09-30,-2.9
1965-12-31,-1.3
1966-03-31,1.3
1966-06-30,9.1
1966-09-30,5.2
1966-12-31,2.7
1967-03-31,2
1967-06-30,4.9
1967-09-30,3.8
1967-12-31,4
1968-03-31,1.8
1968-06-30,2.7
1968-09-30,6.8
1968-12-31,9
1969-03-31,2.4
1969-06-30,10.1
1969-09-30,7.1
1969-12-31,9.8
1970-03-31,6.3
1970-06-30,0.3
1970-09-30,0.4
1970-12-31,7.7
1971-03-31,-3.2
1971-06-30,4.6
1971-09-30,1.9
1971-12-31,6.1
1972-03-31,5.1
1972-06-30,-3.3
1972-09-30,3.2
1972-12-31,4.3
1973-03-31,1.5
1973-06-30,5.3
1973-09-30,11.4
1973-12-31,11.2
1974-03-31,10.3
1974-06-30,12.1
1974-09-30,17.3
1974-12-31,7.7
1975-03-31,9.2
1975-06-30,1.9
1975-09-30,2.5
1975-12-31,6.3
1976-03-31,1.7
1976-06-30,3.7
1976-09-30,7.9
1976-12-31,7.4
1977-03-31,5.2
1977-06-30,6.6
1977-09-30,3.8
1977-12-31,12.8
1978-03-31,13.8
1978-06-30,-3.3
1978-09-30,6.2
1978-12-31,7
1979-03-31,16.7
1979-06-30,10.3
1979-09-30,10.1
1979-12-31,11.1
1980-03-31,9.8
1980-06-30,15.6
1980-09-30,8.8
1980-12-31,6.8
1981-03-31,3.7
1981-06-30,12.7
1981-09-30,5.4
1981-12-31,11.6
1982-03-31,14
1982-06-30,2.7
1982-09-30,5.5
1982-12-31,2
1983-03-31,-0.9
1983-06-30,-5
1983-09-30,-0.7
1983-12-31,2.4
1984-03-31,4.4
1984-06-30,1.4
1984-09-30,4
1984-12-31,2.9
1985-03-31,4.6
1985-06-30,2.4
1985-09-30,0.9
1985-12-31,6
1986-03-31,1.2
1986-06-30,1.3
1986-09-30,3
1986-12-31,6.4
1987-03-31,4.1
1987-06-30,0
1987-09-30,4.1
1987-12-31,1.4
1988-03-31,5.7
1988-06-30,3.7
1988-09-30,3.7
1988-12-31,1.4
1989-03-31,2.1
1989-06-30,0
1989-09-30,1.5
1989-12-31,5.5
1990-03-31,4.8
1990-06-30,4.7
1990-09-30,4
1990-12-31,6.8
1991-03-31,1.9
1991-06-30,0.9
1991-09-30,1.8
1991-12-31,2.8
1992-03-31,2.5
1992-06-30,0.3
1992-09-30,1
1992-12-31,0.4
1993-03-31,-0.6
1993-06-30,5.5
1993-09-30,-0.5
1993-12-31,1.2
1994-03-31,-3.9
1994-06-30,3.3
1994-09-30,2.1
1994-12-31,-1.7
1995-03-31,2.3
1995-06-30,1.2
1995-09-30,2.3
1995-12-31,0.8
1996-03-31,2.6
1996-06-30,-0.5
1996-09-30,1.5
1996-12-31,1.7
1997-03-31,4.9
1997-06-30,-1.6
1997-09-30,0.6
1997-12-31,5.6
1998-03-31,4.6
1998-06-30,2.6
1998-09-30,0.8
1998-12-31,-1.1
1999-03-31,2.8
1999-06-30,0.2
1999-09-30,0
1999-12-31,1.7
2000-03-31,17.4
2000-06-30,-6.8
2000-09-30,8.2
2000-12-31,-1.7
2001-03-31,11.4
2001-06-30,-5.4
2001-09-30,-1.7
2001-12-31,-1.4
2002-03-31,-6.6
2002-06-30,3.3
2002-09-30,-1.1
2002-12-31,1.7
2003-03-31,-1.5
2003-06-30,1.6
2003-09-30,-2.6
2003-12-31,1.5
2004-03-31,-0.5
2004-06-30,3.9
2004-09-30,5.6
2004-12-31,0.5
2005-03-31,-1.3
2005-06-30,2.6
2005-09-30,2
2005-12-31,2.3
2006-03-31,6.1
2006-06-30,0.5
