date,value
1975-01-02,0.7633
1975-01-03,0.7585
1975-01-06,0.7524
1975-01-07,0.751
1975-01-08,0.7554
1975-01-09,0.7551
1975-01-10,0.7534
1975-01-13,0.754
1975-01-14,0.7588
1975-01-15,0.7562
1975-01-16,0.7546
1975-01-17,0.7537
1975-01-20,0.7503
1975-01-21,0.7487
1975-01-22,0.7416
1975-01-23,0.7404
1975-01-24,0.7384
1975-01-27,0.7324
1975-01-28,0.7357
1975-01-29,0.7429
1975-01-30,0.7418
1975-01-31,0.7423
1975-02-03,0.745
1975-02-04,0.7518
1975-02-05,0.7513
1975-02-06,0.7495
1975-02-07,0.7477
1975-02-10,0.7441
1975-02-11,0.7438
1975-02-12,0.7427
1975-02-13,0.7383
1975-02-14,0.7382
1975-02-17,0.7361
1975-02-18,0.7366
1975-02-19,0.7375
1975-02-20,0.7336
1975-02-21,0.7331
1975-02-24,0.7282
1975-02-25,0.7304
1975-02-26,0.7256
1975-02-27,0.7225
1975-02-28,0.7222
1975-03-03,0.7214
1975-03-04,0.7253
1975-03-05,0.7246
1975-03-06,0.7276
1975-03-07,0.7345
1975-03-10,0.7341
1975-03-11,0.7289
1975-03-12,0.7338
1975-03-13,0.7329
1975-03-14,0.7309
1975-03-17,0.7306
1975-03-18,0.7278
1975-03-19,0.7259
1975-03-20,0.7284
1975-03-21,0.7307
1975-03-24,0.7327
1975-03-25,0.7336
1975-03-26,0.7353
1975-03-27,0.7374
1975-04-01,0.7351
1975-04-02,0.7349
1975-04-03,0.7375
1975-04-04,0.7432
1975-04-07,0.7428
1975-04-08,0.7405
1975-04-09,0.7409
1975-04-10,0.7457
1975-04-11,0.7449
1975-04-14,0.7471
1975-04-15,0.7444
1975-04-16,0.7436
1975-04-17,0.7433
1975-04-18,0.743
1975-04-21,0.7441
1975-04-22,0.7427
1975-04-23,0.7379
1975-04-24,0.7388
1975-04-25,0.7418
1975-04-28,0.7435
1975-04-29,0.7406
1975-04-30,0.7394
1975-05-01,0.7391
1975-05-02,0.7405
1975-05-05,0.7378
1975-05-06,0.7371
1975-05-07,0.7346
1975-05-08,0.7309
1975-05-09,0.7327
1975-05-12,0.7331
1975-05-13,0.727
1975-05-14,0.7287
1975-05-15,0.7343
1975-05-16,0.733
1975-05-19,0.731
1975-05-20,0.7312
1975-05-21,0.7272
1975-05-22,0.7254
1975-05-23,0.7259
1975-05-27,0.7255
1975-05-28,0.7251
1975-05-29,0.7274
1975-05-30,0.7295
1975-06-02,0.7292
1975-06-03,0.7264
1975-06-04,0.7277
1975-06-05,0.7275
1975-06-06,0.7283
1975-06-09,0.7293
1975-06-10,0.7281
1975-06-11,0.7265
1975-06-12,0.726
1975-06-13,0.7269
1975-06-16,0.7258
1975-06-17,0.7252
1975-06-18,0.7271
1975-06-19,0.7278
1975-06-20,0.7274
1975-06-23,0.7291
1975-06-24,0.7294
1975-06-25,0.7289
1975-06-26,0.7298
1975-06-27,0.7319
1975-06-30,0.7341
1975-07-01,0.7366
1975-07-02,0.7429
1975-07-03,0.744
1975-07-04,0.7449
1975-07-07,0.7486
1975-07-08,0.7467
1975-07-09,0.7459
1975-07-10,0.7511
1975-07-11,0.7551
1975-07-14,0.7582
1975-07-15,0.7583
1975-07-16,0.7647
1975-07-17,0.7677
1975-07-18,0.7711
1975-07-21,0.775
1975-07-22,0.774
1975-07-23,0.7818
1975-07-24,0.7821
1975-07-25,0.7803
1975-07-28,0.7857
1975-07-29,0.7881
1975-07-30,0.7906
1975-07-31,0.7913
1975-08-01,0.7914
1975-08-04,0.791
1975-08-05,0.7871
1975-08-06,0.7901
1975-08-07,0.7949
1975-08-08,0.7939
1975-08-11,0.7954
1975-08-12,0.7955
1975-08-13,0.7946
1975-08-14,0.7933
1975-08-15,0.7927
1975-08-18,0.7915
1975-08-19,0.7882
1975-08-20,0.7897
1975-08-21,0.7899
1975-08-22,0.7908
1975-08-26,0.7931
1975-08-27,0.7934
1975-08-28,0.7939
1975-08-29,0.7948
1975-09-01,0.7963
1975-09-02,0.7957
1975-09-03,0.7936
1975-09-04,0.7955
1975-09-05,0.796
1975-09-08,0.7959
1975-09-09,0.7952
1975-09-10,0.7973
1975-09-11,0.7981
1975-09-12,0.7994
1975-09-15,0.8004
1975-09-16,0.8054
1975-09-17,0.8094
1975-09-18,0.8114
1975-09-19,0.8131
1975-09-22,0.8191
1975-09-23,0.8245
1975-09-24,0.8215
1975-09-25,0.8174
1975-09-26,0.8202
1975-09-29,0.8233
1975-09-30,0.8168
1975-10-01,0.809
1975-10-02,0.8086
1975-10-03,0.8137
1975-10-06,0.809
1975-10-07,0.8052
1975-10-08,0.8074
1975-10-09,0.8053
1975-10-10,0.7989
1975-10-13,0.7955
1975-10-14,0.8033
1975-10-15,0.7971
1975-10-16,0.7943
1975-10-17,0.7958
1975-10-20,0.7959
1975-10-21,0.7947
1975-10-22,0.7916
1975-10-23,0.7929
1975-10-24,0.793
1975-10-27,0.7945
1975-10-28,0.7954
1975-10-29,0.7954
1975-10-30,0.7915
1975-10-31,0.7914
1975-11-03,0.7911
1975-11-04,0.7929
1975-11-05,0.7958
1975-11-06,0.7935
1975-11-07,0.7938
1975-11-10,0.7942
1975-11-11,0.7955
1975-11-12,0.7948
1975-11-13,0.7965
1975-11-14,0.8009
1975-11-17,0.8071
1975-11-18,0.806
1975-11-19,0.8043
1975-11-20,0.8008
1975-11-21,0.8042
1975-11-24,0.8046
1975-11-25,0.8038
1975-11-26,0.8069
1975-11-27,0.8081
1975-11-28,0.81
1975-12-01,0.8086
1975-12-02,0.8071
1975-12-03,0.8077
1975-12-04,0.807
1975-12-05,0.808
1975-12-08,0.8081
1975-12-09,0.8103
1975-12-10,0.8098
1975-12-11,0.81
1975-12-12,0.8111
1975-12-15,0.813
1975-12-16,0.8123
1975-12-17,0.811
1975-12-18,0.8094
1975-12-19,0.8087
1975-12-22,0.8081
1975-12-23,0.8072
1975-12-24,0.8062
1975-12-29,0.8094
1975-12-30,0.8096
1975-12-31,0.8093
1976-01-02,0.8093
1976-01-05,0.8048
1976-01-06,0.8045
1976-01-07,0.804
1976-01-08,0.8045
1976-01-09,0.806
1976-01-12,0.8062
1976-01-13,0.8079
1976-01-14,0.8063
1976-01-15,0.8066
1976-01-16,0.8073
1976-01-19,0.807
1976-01-20,0.8084
1976-01-21,0.8135
1976-01-22,0.8176
1976-01-23,0.8162
1976-01-26,0.8152
1976-01-27,0.8152
1976-01-28,0.816
1976-01-29,0.817
1976-01-30,0.8178
1976-02-02,0.8148
1976-02-03,0.8164
1976-02-04,0.814
1976-02-05,0.8145
1976-02-06,0.8155
1976-02-09,0.8191
1976-02-10,0.819
1976-02-11,0.8165
1976-02-12,0.8176
1976-02-13,0.8196
1976-02-16,0.8212
1976-02-17,0.8236
1976-02-18,0.8217
1976-02-19,0.8212
1976-02-20,0.8236
1976-02-23,0.8248
1976-02-24,0.8246
1976-02-25,0.8246
1976-02-26,0.8237
1976-02-27,0.8246
1976-03-01,0.828
1976-03-02,0.8295
1976-03-03,0.8289
1976-03-04,0.8314
1976-03-05,0.8318
1976-03-08,0.8309
1976-03-09,0.8315
1976-03-10,0.8334
1976-03-11,0.8358
1976-03-12,0.8366
1976-03-15,0.842
